University (Full Name),University (Abbreviation),Campus,City/Municipality,Province,Region,ERSU6_Member
Abra State Institute of Science and Technology,ASIST,Main,Lagangilang,Abra,CAR,Yes
Abra State Institute of Science and Technology,ASIST,Bangued,Bangued,Abra,CAR,Yes
Adamson University,AU,Main,Manila,Manila,NCR,No
Agusan del Sur State College of Agriculture and Technology,ASSCAT,Main,Bunawan,Agusan del Sur,13,Yes
Agusan del Sur State College of Agriculture and Technology,ASSCAT,Trento,Trento,Agusan del Sur,13,Yes
Aklan State University,ASU,Main,Banga,Aklan,6,No
Ateneo de Manila University,ADMU,Main,Quezon City,Quezon city,NCR,No
Bataan Peninsula State University,BPSU,Main,Balanga,Bataan,3,No
Benguet State University,BSU,Main,La Trinidad,Benguet,CAR,Yes
Benguet State University,BSU,La Trinidad,La Trinidad,Benguet,CAR,Yes
Bicol University,BU,Tabaco,Tabaco,Albay,5,No
Bohol Island State University,BISU,Main,Tagbilaran,Bohol,7,Yes
Bohol Island State University,BISU,Balilihan,Dauis,Bohol,7,Yes
Bohol Island State University,BISU,Bilar,Bilar,Bohol,7,Yes
Bohol Island State University,BISU,Candijay,Candijay,Bohol,7,Yes
Bohol Island State University,BISU,Clarin,Clarin,Bohol,7,Yes
Bohol Island State University,BISU,Calape,Calape,Bohol,7,Yes
Bohol Island State University,BISU,Main,Tagbilaran,Bohol,7,No
Bulacan Agricultural State College,BASC,Main,San Ildefonso,Bulacan,3,No
Bulacan State University,BulSU,Main,Malolos,Bulacan,3,Yes
Bulacan State University,BulSU,Bustos,Bustos,Bulacan,3,Yes
Bulacan State University,BulSU,Hagonoy,Hagonoy,Bulacan,3,Yes
Bulacan State University,BulSU,Meneses,Bulakan,Bulacan,3,Yes
Bulacan State University,BulSU,Sarmiento,San Jose del Monte,Bulacan,3,Yes
Caraga State University,CarSU,Main,Butuan,Agusan del Norte,13,No
Carlos Hilado Memorial State College,CHSC,Main,Talisay,Negros Occidental,6,No
Catanduanes State University,CSU,Main,Virac,Cataduanes,5,No
Cavite State University,CavSU,Main,Indang,Cavite,4A,No
Cebu Normal University,CNU,Main,Cebu,Cebu,7,No
Cebu Technological University,CTU,Main,Daanbantayan,Cebu,7,Yes
Central Luzon State University,CLSU,Main,Muñoz,Nueva Ecija,3,No
Cotabato Foundation College of Science and Technology,CFCST,Main,Arakan,Cotabato,12,No
Davao del Norte State College,DNSC,Main,Panabo,Davao del Norte,11,Yes
Davao del Norte State College,DNSC,Carmen,Carmen,Davao del Norte,11,Yes
Davao del Norte State College,DNSC,IGACOS,Samal,Davao del Norte,11,Yes
Davao del Norte State College,DNSC,Santo Tomas,Santo Tomas,Davao del Norte,11,Yes
De La Salle University,DLSU,Main,Manila,Manila,NCR,No
Don Mariano Marcos Memorial State University,DMMSU,Main,Bacnotan,La Union,1,No
Ifugao State University,IFSU,Main,Lamut,Ifugao,CAR,No
Ilocos Sur Polytechnic State College,ISPSC,Main,Santa Maria,Ilocos Sur,1,No
Isabela State University,ISU,Main,Echague,Isabela,2,No
Jose Rizal Memorial State University,JRSU,Main,Dapitan,Zamboanga Del Norte,9,No
Kalinga State University,KSU,Main,Tabuk,Kalinga,CAR,No
Manuel S. Enverga University Foundation,MSEUF,Main,Lucena,Quezon,4A,No
Mapua University,MU,Main,Quezon City,Quezon City,NCR,No
Mariano Marcos State University,MMSU,Main,Batac,Ilocos Norte,1,No
Marinduque State College,MSC,Main,Boac,Marinduque,4B,No
Mindanao State University,MSU,Main,Marawi,Lanao del Sur,BARMM,No
Mindoro State University,MinSU,Main,Victoria,Oriental Mindoro,4B,Yes
Mindoro State University,MinSU,Calapan,Calapan,Oriental Mindoro,4B,Yes
Mindoro State University,MinSU,Bongabong,Bongabong,Oriental Mindoro,4B,Yes
Mountain Province State Polytechnic College,MPPC,Main,Bontoc,Mountain Province,CAR,No
Northern Negros State College of Science and Technology,NONESCST,Main,Sagay,Negros Occidental,6,No
Notre Dame of Marbel University,NDMU,Main,Koronadal,South Cotabato,12,No
Nueva Ecija University of Science and Technology,NEUST,Main,Cabanatuan,Nueva Ecija,3,No
Palawan State University,PSU,Main,Puerto Princesa,Palawan,4B,Yes
Palompon Institute of Technology,PIT,Main,Palompon,Leyte,8,No
Pampanga State Agricultural University,PSAU,Main,Magalang,Pampanga,3,No
Philippine Normal University,PNU,Main,Manila,Manila,NCR,Yes
Polytechnic University of the Philippines,PUP,Main,Manila,Manila,NCR,Yes
President Ramon Magsaysay State University,PRMSU,Main,Iba,Zambales,3,No
Quirino State University,QSU,Main,Diffun,Quirino,2,Yes
Rizal Technological University,RTU,Main,Mandaluyong,Mandaluyong,NCR,No
Romblon State University,RSU,Main,Odiongan,Romblon,4B,Yes
Romblon State University,RSU,Cajidiocan,Cajidiocan,Romblon,4B,Yes
Romblon State University,RSU,San Fernando,San Fernando,Romblon,4B,Yes
Romblon State University,RSU,San Agustin,San Agustin,Romblon,4B,Yes
Romblon State University,RSU,Santa Fe,Santa Fe,Romblon,4B,Yes
Romblon State University,RSU,Calatrava,Calatrava,Romblon,4B,Yes
Romblon State University,RSU,Santa Maria,Santa Maria,Romblon,4B,Yes
Romblon State University,RSU,San Andres,San Andres,Romblon,4B,Yes
Romblon State University,RSU,Sawang,Romblon,Romblon,4B,Yes
Saint Louis University,SLU,Main,Baguio,Benguet,CAR,No
Samar State University,SSU,Main,Catbalogan,Samar,8,Yes
Southern Leyte State University,SoLSU,Main,Sogod,Southern Leyte,8,No
Southern Luzon State University,SLSU,Main,Lucban,Quezon,4A,No
Tarlac Agricultural University,TAU,Main,Camiling,Tarlac,3,No
Tarlac State University,TSU,Main,Tarlac,Tarlac,3,Yes
Tarlac State University,TSU,Capas,Capas,Tarlac,3,Yes
Tarlac State University,TSU,Lucinda,Tarlac,Tarlac,3,Yes
Tarlac State University,TSU,San isidro,Tarlac,Tarlac,3,Yes
University of Antique,UA,Main,Sibalum,Antique,6,No
University of Antique,UA,TLMC,Tibiao,Antique,6,No
University of Eastern Philippines,UEP,Main,Catarman,Northern Samar,8,Yes
University of Rizal System,URS,Main,Tanay,Rizal,4A,No
University of Santo Tomas,UST,Main,Manila,Manila,NCR,No
University of Science and Technology of Southern Philippines,USTSP,Main,Alubijid,Misamis Oriental,10,No
