Research Title,Author,Abstract,University (Abbreviation),Campus
"Disaster Risk Reduction and Long-Term Risk Resilience and Adaptive Capacity towards Sustainable Development (Year 3)
 
 Project Components:
 1. Theoretical Foundation for Analyzing Graph-Based Trajectories of Agents and Items
 2. Developing a Typhoon and Severe Storm Early Warning Dynamic Model for Disaster Risk Management 
 3. The Potential Impacts of Urban Development and Expansion on Heavy Rainfall Events
 4. Flood Control and the Origins and Politics of Metro Manila 
 5. An Archeology of Disaster in the Philippine Experience
 6. The Discourse of Climate Change/Repentance and Rebirth at the End of Life as We Know it
 7. Reconstructing and Rehabilitating the Material and Spritual Basis of a People's Narrative of Hope and Identity Amidst Disasters: The Case of Bohol and Sulu. 
 8. Tropics of Survivance: Poetics, Prosaics, Performances of Catastrophe in Philippine Literature and Cinema. 
 9. Probabilistic Approach to Disaster Risk Assessment. 
 10. An Analysis of Science Communication in the Context of Extreme Rainfall and Flooding Events. 
 11. Reforms and Innovations in General Science Education for Effective Advocacy in Disaster and Risk Management.
 12. Development of Low Cost Gas/ Chemical Equipment for Disaster Prevention Training. 
 13. Development of Low-Cost Chemical Equipment for Disaster Prevention and Monitoring : Medium Pressure Liquid Chromatograph and/orRGB Spectrophotometer. 
 14. Survey and Evaluation of Rural Landscape Biodiversity of Roxas , Oriental Mindoro , with Identification and Scientific Description of Taxa New to Science , Identification of Priority Areas for Conservation and Introduction of ""Rainforestation Farming"" an Indigenous Forest Rehabilitation Scheme for Biodiversity Conservation, Disaster Mitigation and Promotion of Sustainable Income for the Rural Communities. 
 15. Social Capital, Vulnerability and Households' Adaptation to Extreme Climate Events in Aquaculture -Dependent Communities Surrounding Lake Palakpakan in San Pablo City Laguna.
 16. Project Management Unit","Narisma, Gemma T.","The CHED PHERNet-AdMU Program has been conducting its research projects in
 collaboration with communities within and outside Metro Manila, such as those from Rizal,
 Tarlac, Mindoro, Naga, and Cagayan de Oro. These resulted in 8 ISI/Scopus published articles
 and 2 submissions during Years 2012-2014. While for the Years 2014-2016, 12 ISI/Scopus
 published articles and 2 submissions were produced. In addition to these are paper
 presentations, both local and international.
 Hoping to pursue with the third program of PHERNet-AdMU covering the years 2017-2018,
 the attached proposals discuss how each project will continue with addressing disaster risk
 reduction and long-term resilience and adaptive capacity towards sustainable development.
 The Philippines is one of the most vulnerable countries in the world when it comes to
 disasters, and ranks high in terms of the number of natural disasters that have occurred from
 1976-2005. Results of a recent World Risk Report in 2016 show that the Philippines ranks
 second when it comes to being at risk to disasters (next to Vanuatu) mainly because of its
 physical exposure to natural hazards.
 In light of Climate Change and with extreme events more likely to occur in the future due to
 the effects of global warming, it is essential to have a research program that will provide
 evidence and information for disaster risk management that aims for long term resilience and
 geared towards future sustainable development. This calls for a holistic and integrative
 program research framework for disaster risk analysis that will study in depth the three
 crucial variables that lead to disasters: hazard, exposure, and vulnerability.
 The main goal of this program is to build and generate knowledge in disaster risk reduction
 and long-term adaptive capacity and risk resilience towards evidence-based sustainable
 development. This program will delve into the factors that affect the risk to disasters through
 collaborative and multidisciplinary research.
 
 In this research program, the approach to disaster risk reduction is through a multi-
 disciplinary, multi-dimensional and multi-variable research analysis, where risk can be
 
 characterized as the product of the complex interactions within , and between different
 variables evolving from the physical threat or impact of the (extreme) event (or the hazard),
 the exposed elements to the hazard (exposure), and the susceptibility, coping ability and
 adaptive capacity of the exposed elements (or vulnerability). The program aims to have the
 following outcomes:
 
 Coping °Decides to
 reduce negattve
 canwchtence
 
 Adaptation
 Contietm
 atnstegles1M—Wtal nge,
 
 Vulnerability
 
 tr
 ove_rty e
 morph-SW"",
 Poverty eixl
 Population
 and -Culture
 
 irstrri.'11
 teactiv training
 Initiatives
 
 Disaster Seknce Erbiattori &
 ;Beading a Culture of &dem Hazard
 Monitoring
 & Complex
 isrAla
 Cady
 Warning
 research
 
 iitstertrial
 hasirds and
 vUlnerabiPtcr
 
 komen/Gender strialysdi
 Goyernanoe, policy
 analysis
 
 Socioeconomic velue analysis
 ofadaptation strategies
 itrusural; alternative
 Webbed: aids? technoloolei
 deem; Job creation/
 
 .uttureami reside
 
 Figure 1. General research areas for projects under the disaster program framework
 
 (Wed or
 suffedng lyn)
 
 Agsg
 rirt• 's
 ?Thfl1ffsO
 
 07m:a
 
 ttorloritie
 ;capacity
 I. a nahnh,
 
 international Aid i ODA,
 Mulatatend finandai
 
 To have a better understanding of the dynamics and physical nature, and potential
 impacts of extreme events that can lead to disasters
 To explore design, development and innovation of early warning and hazard
 monitoring systems, including better forecasting model for extreme events
 To have a better understanding and characterization of variables and elements
 exposed to disaster, including change detection and evolving dynamics
 To have a better understanding of factors and the interactions between these factors
 that influence susceptibility, coping ability, and adaptive capacity to disasters
 To have in-depth analysis and development of long term disaster risk management
 strategies for long term resilience through education, knowledge generation and
 communication, and environmental protection.",ADMU,Main
"Antimycotic Activity Of Nostoc Linckia  Species against Tinea Versicolor in Lagangilang, Abra","Paderes, Nero M.","The warm tropical climate of the Philippines and its interaction with cultural practices, age, occupation, genetic susceptibilities and immune responsiveness contribute to the increased susceptibility of Filipinos to fungal infections. The severity of the disease have increased in recent years significantly due to heavy infections and the pathogenic fungi becoming resistant due to indiscriminate use of antibiotic drugs.  The decreased efficiency and resistance of pathogen to antifungal drugs has necessitated the development of new alternatives. Aquatic organisms such as algae are a rich source of structurally novel and biologically active compounds. The province of Abra is home to a diverse group of algal species many of which are not yet fully documented and studied as to their potential commercial, industrial and medicinal value. This species of algae is locally known as Tabtaba and is scientifically classified as Nostoc linkia which is common in Northern Luzon. 
Four treatments were utilized which includes Nostoc linckia ethanolic extracts at 800 and 400 µg dose concentration, positive control (1gm/ml teramycine)and negative control (distilled water). The modified Kirby Bauer Disc diffusion method was used to test for the antimycotic activity of the 4 treatments. Findings show that T1 and T3 exhibited a strong antimycotic activity with a mean zone of inhibition of 17.85 mm and 27.32 mm respectively, while T2 exhibited a moderate activity with a mean zone of inhibition of 13.18 mm while T4 being the negative control showed no zone of inhibition. ANOVA and Sheffe analysis confirms that Tinea versicolor is highly sensitive to the inhibitory effect of the different treatments. The researcher recommends another study to be conducted against other pathogenic fungal species to obtain a more valid information on the antimycotic activity of Nostoc linckia.
",ASIST,Main
Green Chemistry Perspective Among Stem 12 Senior High School Students,"Paderes, Nero M.","The study was conducted to determine the “Green Chemistry Perspective among Stem 12 Senior High School Students in the Province of Abra”. The descriptive research method, mean, and correlational research design was used to look into the influence of the profile, knowledge, attitudes and practices of the respondent towards green Chemistry. A total of 103 students participated on the survey. Data collected was analyzed using SPSS Software (version 20). 
Result shows that the ages vary between 16-20 years old. Majority of the respondents are males (53.40%) while 46.6% are females. 61% of the respondents have no school organization, 38% are members of YES-O and 1% are Science and Math club members. Majority of the respondents do not participate on any environmental activities which constitute 73.8% of the total number while 23% actively participate during YES-O activities, 3% are into the Clean and Green program while 1% are Science and Math related activities. 
Students’ attitude towards Green Chemistry netted an overall weighted mean of 4.03 which implies that students have positive outlook towards the subject. The practices of the respondents towards green chemistry netted a computed overall mean value of 4.18 with a descriptive interpretation of “Often Practiced”. The knowledge of the respondents towards green chemistry shows a computed overall mean score value of 20.99 with a descriptive interpretation of “Less Knowledgeable”. This means that the respondents have less knowledge as to green chemistry concepts. 
Correlation result shows that Gender is significantly correlated to students’ level of knowledge in green chemistry (-0.207). This means that females have higher level of knowledge compared to males. The correlation coefficient of 0.214 means that membership in organization is also significantly related to students’ level of knowledge in green chemistry. This finding implies that membership to environmental organizations is associated to higher level of knowledge in the subject. Students participating with various environmental activities also tend to have higher level of knowledge of green chemistry with correlation coefficient of 0.297. The correlation coefficient of 0.310 means that students level of attitude towards green chemistry is also significantly related to students’ level of knowledge in green chemistry. This finding implies that positive attitudes to green chemistry is associated to higher level of knowledge in the subject. 
",ASIST,Main
Solid Waste Management System of Barangay Deet,"Bose, Ma. Digna T.","This study aimed to establish a Solid Waste Management System of Barangay Deet. It determined the socio-demographic profile of the respondents, the level of awareness and extent of practice of the respondents on the components of solid waste management and the degree of seriousness on the problems met in the implementation of solid waste management system. It also determined the significant relationship between the level of awareness of the respondent and the socio-demographic profile of the respondents; the significant relationship between the extent of practice on solid waste management and the socio-demographic profile of the respondents and significant relationship between the level of awareness and the extent of practice of the respondents on solid waste management.
 There were 210 respondents who were taken from the seven sectors of the barangay using the Slovin’s formula. This study utilized the descriptive method of research, specifically the descriptive- correlational design  employing the questionnaire as an instrument in gathering data which was adapted from Fontanilla(2003) and Ajith (2014).
 Majority of the respondents are female. With regards to educational attainment, most of the respondents attained high school level and also in terms of monthly income, the respondents earn below 3,000.00. Results further revealed that the respondents have a moderate level of awareness on solid waste management and in terms of extent of practice of the different components of solid waste management  are often practiced by them. In terms of the degree of seriousness on the problems met in the implementation of solid waste management all were described as slightly serious. 
 Results further revealed that there exist a significant relationship between socio-demographic profile and the level of awareness of the respondents on solid waste management particularly on gender and educational attainment. There is also a significant relationship between the socio-demographic profile and the extent of practice  on the respondents on gender and educational attainment. On the other hand there exist a significant relationship between level of awareness and the extent of practice of the respondents on solid waste management. 
",ASIST,Main
Multivariate Analysis on Tobacco  Farming System,"Gannapao, Jubert S.;Guidang, Excel Philip B.;Trinidad, Joventino T. Jr.","Farming systems refers to the utilization of the combinations of technologies to interact adequately with environment without dislocating the ecological and standard of living of farmers The main objective of this study is to identify the diversity and typology relationships of the farming systems on tobacco farms in the Province of Abra along the areas on: a) Farm area; b) Cattle density; c) Organic fertilizer d) Synthetic fertilizer; e Production intensity; and f) Yield using multivariate analysis that might affect soil health and quality in the Tobacco Farms. The study found out that the use of farming innovation, farm area, cattle density, use of organic as well as synthetic fertilizer is significantly correlated to Yield at .01 (2-tailed). The use of farming innovation, farm area, cattle density, use of organic as well as synthetic fertilizer is significantly correlated to Yield at .01 (2-tailed). The use of synthetic fertilizer is significantly correlated to farm area. Production has statistically significant difference of .015.",ASIST,Main
"Efficacy of different botanical pesticides (wild ginger, neem) as insect pest control of cucumber (Cucumis sativus)","Balingit, Kae Ann Marie P.;Pagluanan, Eusebia R.;Borja, Jerneelyn M.","This research study showcases the farmers that do not apply chemical insecticides or fungicides to control insect pest of cucumber. The result of this study will guide and provide information and knowledge to the farmers on the application of different botanical pesticides in controlling insect pest of cucumber.
 The study aimed to determine the efficacy of different botanical pesticides (Synthetic insecticide, Neem leaves extract, Wild ginger extract) as insect pest control of cucumber it was conducted at Barangay Talogtog, Dolores, Abra on January 2018 to March 2018. A total area of 330 square meters divided equally into 16 plots with an area of 20 meters each was used for this study. The treatments were replicated into 4 blocks with four experimental and per block. 
The different treatments used in the study were: 
Treatment 0 - control/no treatment
Treatment 1 - Synthetic insecticide
Treatment 2 - Neem leaves extract
Treatment 3 - Wild ginger extract
The study used Randomized Complete Block Design (RCBD) replicated four times. To analyze the data, Analysis of Variance (ANOVA) and Least Significant Difference (LSD) were used.
Based on the findings of the study, it was concluded that neem leaf extract is effective I controlling insect pest of cucumber. This conclusion was supported by the findings.
In terms of weight and length of marketable fruits, plants treated with Treatment 2 (Neem leaf extract), produced heavier and longer cucumber fruits.
Results showed highly significant difference in the diameter of the fruits, number of marketable fruits, number of non-marketable fruits, weight of marketable fruits, weight of non-marketable fruits, degree of infestations while the length of fruits per plot and fruit damage significantly varied among treatments. This implies that neem leaf extract is effective to be used as insect pest control in the production of cucumber.
Treatment 2 (Neem leaf extract) gave the highest Return on Investment, having 73%, followed by Treatment 3 (Wild ginger extract) with 71%, Treatment 1 (Synthetic insecticide) with 70% and Treatment 0 with 42%.
Based on the result of the study, the use of neem leaf extract as insect pest control s effective in cucumber production.
",ASIST,Main
Development and Trial of Soil Nitrogen Image Classifier Using Inception-V3 Model,"Guidang, Excel Philip B.","Demand for automated image classification is spiking every day. This study aims to develop an Inception-V3-based classifier on soil nitrogen to facilitate immediate determination of nitrogen presence in soil. Specifically, it achieved the following objectives: a) Determine the features of Nitrogen; b) Develop a Nitrogen image classifier using Inception-v3 model; and c) Determine the usability of the image classifier in field Test Trial. To determine the features of the Nitrogen, the study used a Rapid Soil Test Kit color chart from the Bureau of Soils and Water Management. To develop a Nitrogen image classifier, the study used Inception-v3 in which was first trained on ImageNet, and was repurposed to learn features of Nitrogen. Specifically, the method of learning is transfer learning. 30% of the images were blurred, while 20% rotated, and the remaining 50% were not manipulated. To determine the usability of the Nitrogen Image Classifier in Field test trial, samples were taken from the farm. The prediction of the image classifier was verified by the representatives by manually comparing the soil test result to the color chart, then make judgement and compare the image classifier’s prediction to their judgement. The soil nitrogen image classifier prediction trial was set at 5 trials. Colors can be used to train an image classifier. They are reliable source of information to identify images. 20 images of different angles per label is enough to train Inception-v3 model. Retrained model has a 94.8846% prediction accuracy on soil nitrogen.",ASIST,Main
Acrostic and Stress Therapeutic Poetry Using Covid 19 Pandemic Emotion Extracts,"De La Cruz, Joey M.;Guidang, Excel Philip B.","This study aims to construct therapeutic poetry using the COVID 19 pandemic experiences and practices tones extracts. 44 students were asked to write their COVID 19 experiences and practices to combat the pandemic. A total of 19595 words or 1077 sentences with a lexical density of 14.0996 was used in this study. Grammarly Tone Detector was used to determine the tones of the experiences. 1077 sentences were scrutinized using Voyant Tools.  Most of the respondents indulge to praying, family bonding, helping, and showing sympathy. The most frequent tone is Formal while the least frequent tones are Confident, Sad, Angry, and Forceful. The reader of the poem is reminded of his role as a person and as a member of the society towards his family, community and the nation. It conveys about the observations, experiences, and practices to resolve issues and problems encountered during the pandemic which provided the students to reflect on the essence of life, the importance of existence, observance of physical and social hygiene, as well as caring, respecting and protecting the humanity and environment. Students are somewhat emotionally stressed that need intervention and resolution to express their sentiments, feelings, and desires.",ASIST,Main
"Performance of lowland rice varieties under farmers field condition in Nagtupacan, Lagangilang, Abra","Edwin, Alfredo B. Jr.;Sotelo, Evangeline A.","To increase rice production, adapted high performing varieties must be considered. There is a need to search and identify potential rice varieties in a particular environment. Using adapted and high yielding varieties is one of the answers to the challenge for increased food production and self-sufficiency. Studies should be conducted on the different aspects of rice culture like variety test to attain the aim of farmers, which is to produce the maximum yield of rice. Thus, the findings of this study may contribute to the increased rice production in Abra.
This study was conducted at Nagtupacan, Lagangilang, Abra from June 26, 2017 to October 27, 2017. Generally, the study aimed to find out the performance of lowland rice varieties under farmer’s field condition. Specifically, it aimed to find out which varieties of lowland rice gives the best growth performance, gives the highest yield, obtained the highest profit and to select and recommend the best lowland variety to farmers. This study was conducted using the Randomized Complete Block Design (RCBD) involving five varieties with four replications. The total area of 232.5 square meters was divided into four equal blocks representing the replication. Each block measured 1 meter by 29 meter and was divided into five plots which the five varieties were planted. The distance of planting used was 20 x 20 cm and the varieties used in the study were: NSIC Rc160, PSB Rc14, PSB Rc68, NSIC Rc186 and NSIC Rc190.
Based on the result of the study, it was found out that the growth and yield performance of lowland rice varieties had significant differences in number of days to mature, plant height at maturity, number of filled and unfilled grains, number of productive tillers, weight of 1,000 seeds and grain yield. No significant differences were observed among the five varieties on the length of their panicle and to their reaction to pests and diseases specifically to rice bugs and stem borers. The yield significantly differed among the five lowland rice varieties.
Planting of PSB Rc14 is recommended for planting to have higher grain yields and higher return on investment. Planting of NSIC Rc186 is recommended for having the shortest day to mature. Planting NSIC Rc190 and NSIC Rc186 are recommended in the absence of PSB Rc14 because of their favorable yield.
",ASIST,Main
Utilization of Portulaca gilliesi as feed additive and Japanese Quail,"Maglaya, Medilyne B.;Patagao, Talugay G.;Pilor, May Lyn;Bose, Alysa","Portulaca gilliesii speg. ia an important plant naturally found as a weed in field crops and lawns. It was widely distributed around the globe and popular as landscape flowers in the locality. The plants possess many medicinal and nutritional value hence, a very good source of feedstuffs.
 The primordial purpose of these study was to utilize Portulaca gilliesii speg. as soilage for broilers. Two studies have been conducted in a consecutive year (2017 & 2018) following a Completely Randomized Design with 120 birds per study. It was both consist of four treatments including the control and three replication. 
Based on the result of the study, utilization of Portulaca gilliesii speg. as soilage boost the growth performance in terms of body weight, feed consumption, gain in weight, feed conversion ratio(FCR) and feed conversion efficiency (FCE) of broilers at 8-10% level of inclusion although statistically no significant difference was observed between and among treatment.
Dressed weight surpassed the normal range of 70-76% as the inclusion level of Portulaca gilliesii speg.as soilage increases which means that it has great potential in the dressed chicken business because of its ability to retain its carcass weight. Liver and pancreas weight showed no deleterious effect. This implies that Portulaca gilliesii speg.as soilage was safe for consumption both for human and animal.
Economy of feeding Portulaca gilliesii speg.as soilage has shown a return on investment of 10 – 17.18% as the inclusion rate increases. This means that in every peso invested, there was a 10 to seventeen centavos return on investment in a 35-42 days of feeding trial.  
Generally, utilization Portulaca gilliesii speg.as soilage to the ration of broilers was recommended for being economically beneficial to poultry raisers and dressed chicken business. In add on, it was proven safe for consumption for it showed no deleterious effect on the broilers. 
",ASIST,Main
